Hora,Temperatura
2024-03-16 00:00:00,16
2024-03-16 01:00:00,19
2024-03-16 02:00:00,34
2024-03-16 03:00:00,27
2024-03-16 04:00:00,28
2024-03-16 05:00:00,13
2024-03-16 06:00:00,19
2024-03-16 07:00:00,10
2024-03-16 08:00:00,32
2024-03-16 09:00:00,27
2024-03-16 10:00:00,14
2024-03-16 11:00:00,24
2024-03-16 12:00:00,26
2024-03-16 13:00:00,12
2024-03-16 14:00:00,21
2024-03-16 15:00:00,11
2024-03-16 16:00:00,10
2024-03-16 17:00:00,32
2024-03-16 18:00:00,30
2024-03-16 19:00:00,26
2024-03-16 20:00:00,31
2024-03-16 21:00:00,25
2024-03-16 22:00:00,14
2024-03-16 23:00:00,24
