Fecha,Producto,Cantidad,Precio_Unitario,Ingreso_Total
2024-01-15,Teclado,17,1954,33218
2024-03-20,Tablet,10,1535,15350
2024-01-27,Tablet,3,671,2013
2024-03-12,Mouse,18,434,7812
2024-02-29,Laptop,18,1345,24210
2024-02-15,Mouse,17,136,2312
2024-03-29,Laptop,3,1088,3264
2024-01-17,Laptop,3,377,1131
2024-04-02,Smartphone,6,1319,7914
2024-02-22,Monitor,13,1015,13195
2024-01-08,Smartphone,15,1987,29805
2024-03-19,Monitor,9,583,5247
2024-01-27,Mouse,4,1365,5460
2024-02-15,Monitor,14,1447,20258
2024-02-19,Mouse,5,830,4150
2024-03-11,Tablet,2,291,582
2024-01-03,Tablet,11,1140,12540
2024-04-02,Monitor,9,623,5607
2024-03-04,Monitor,3,1017,3051
2024-02-13,Mouse,9,500,4500
2024-02-22,Smartphone,3,985,2955
2024-01-24,Mouse,2,804,1608
2024-02-29,Smartphone,12,121,1452
2024-01-03,Tablet,10,573,5730
2024-01-20,Laptop,9,1243,11187
2024-02-15,Monitor,15,309,4635
2024-01-15,Smartphone,8,405,3240
2024-01-25,Mouse,5,1393,6965
2024-04-03,Tablet,11,803,8833
2024-03-18,Smartphone,2,786,1572
2024-03-11,Mouse,15,384,5760
2024-01-17,Monitor,6,815,4890
2024-03-24,Monitor,8,1799,14392
2024-04-09,Teclado,5,862,4310
2024-01-09,Laptop,16,1350,21600
2024-02-07,Teclado,18,1047,18846
2024-02-17,Tablet,6,480,2880
2024-02-29,Smartphone,5,559,2795
2024-03-03,Tablet,16,1130,18080
2024-03-26,Mouse,13,128,1664
2024-01-02,Monitor,5,1006,5030
2024-03-28,Teclado,13,1156,15028
2024-03-12,Teclado,17,1769,30073
2024-01-11,Teclado,18,978,17604
2024-03-04,Tablet,8,178,1424
2024-03-17,Monitor,13,1046,13598
2024-03-21,Smartphone,19,558,10602
2024-03-12,Mouse,3,669,2007
2024-01-21,Smartphone,8,1661,13288
2024-01-18,Tablet,2,1605,3210
2024-04-03,Mouse,8,1553,12424
2024-03-04,Teclado,13,837,10881
2024-03-22,Laptop,13,1408,18304
2024-04-04,Tablet,1,615,615
2024-02-07,Tablet,6,1222,7332
2024-02-01,Monitor,19,496,9424
2024-01-11,Smartphone,16,1612,25792
2024-02-14,Tablet,8,138,1104
2024-03-29,Tablet,1,1394,1394
2024-02-02,Teclado,16,986,15776
2024-02-10,Teclado,9,896,8064
2024-01-08,Mouse,13,256,3328
2024-01-11,Laptop,11,1198,13178
2024-03-26,Monitor,13,983,12779
2024-02-20,Laptop,10,1923,19230
2024-03-28,Mouse,4,1253,5012
2024-02-10,Teclado,6,1810,10860
2024-01-17,Smartphone,7,1073,7511
2024-03-16,Teclado,5,1207,6035
2024-02-15,Monitor,11,1145,12595
2024-02-01,Teclado,13,1582,20566
2024-03-19,Monitor,19,1662,31578
2024-03-20,Monitor,10,1830,18300
2024-02-23,Monitor,10,948,9480
2024-03-26,Mouse,11,1505,16555
2024-04-01,Monitor,7,847,5929
2024-01-20,Monitor,18,1563,28134
2024-02-02,Smartphone,4,1727,6908
2024-03-14,Laptop,2,1088,2176
2024-02-09,Tablet,14,120,1680
2024-02-01,Laptop,13,402,5226
2024-04-06,Monitor,12,968,11616
2024-01-02,Smartphone,7,183,1281
2024-04-06,Teclado,2,1897,3794
2024-02-02,Smartphone,13,1782,23166
2024-03-17,Monitor,14,1576,22064
2024-01-30,Smartphone,17,1510,25670
2024-02-02,Smartphone,9,1630,14670
2024-03-17,Monitor,17,1380,23460
2024-01-26,Mouse,8,669,5352
2024-01-22,Smartphone,2,1033,2066
2024-03-06,Tablet,13,1650,21450
2024-02-07,Tablet,3,1285,3855
2024-03-30,Smartphone,16,1286,20576
2024-02-15,Mouse,6,1955,11730
2024-01-15,Teclado,19,1108,21052
2024-04-07,Monitor,7,892,6244
2024-02-13,Tablet,10,891,8910
2024-02-18,Teclado,9,1647,14823
2024-03-15,Smartphone,2,1909,3818
